player_id,gross_avg,net_avg,inside_20_pct,count,team,player_name,name,composite,rank
00-0037547,51.69388,47.163265,0.8163265306122449,49,GB,Daniel Whelan,Daniel Whelan,94.66478570768561,1
00-0035859,51.727272,47.227272,0.7272727272727273,22,ARI,Blake Gillikin,Blake Gillikin,86.55425219941348,2
00-0039323,50.53846,46.276924,0.7846153846153846,65,CIN,Ryan Rehkow,Ryan Rehkow,85.37212622506522,3
00-0038094,50.132076,47.132076,0.6981132075471698,53,BAL,Jordan Stout,Jordan Stout,79.62532009583686,4
00-0033269,48.772728,46.045456,0.6818181818181818,44,IND,Rigoberto Sanchez,Rigoberto Sanchez,70.51000836280662,5
00-0030140,47.339287,45.30357,0.7321428571428571,56,WAS,Tress Way,Tress Way,68.9160630060451,6
00-0037500,48.984615,45.43077,0.6,65,MIN,Ryan Wright,Ryan Wright,60.794187169679624,7
00-0040223,47.64,43.533333,0.68,75,DEN,Jeremy Crawshaw,Jeremy Crawshaw,57.603035491349104,8
00-0034160,49.0,43.326923,0.6538461538461539,52,SEA,Michael Dickson,Michael Dickson,57.5219786816089,9
00-0034437,47.966667,45.0,0.6,60,JAX,Logan Cooke,Logan Cooke,56.657236799950944,10
00-0036313,49.875,45.01389,0.5416666666666666,72,PHI,Braden Mann,Braden Mann,55.70577765668506,11
00-0037284,47.57143,42.375,0.6785714285714286,56,KC,Matt Araiza,Matt Araiza,52.67162178435209,12
00-0034941,45.342106,43.526318,0.6842105263157895,38,BUF,Mitch Wishnowsky,Mitch Wishnowsky,52.52528604577819,13
00-0030092,47.17857,41.589287,0.7142857142857143,56,CAR,Sam Martin,Sam Martin,51.984273399698736,14
00-0039634,46.71831,44.84507,0.5774647887323944,71,NYJ,Austin McNamara,Austin McNamara,50.94007184014524,15
00-0033400,51.32,43.4,0.52,25,ARI,Matt Haack,Matt Haack,50.62192469494134,16
00-0035889,47.555557,43.02778,0.625,72,HOU,Tommy Townsend,Tommy Townsend,50.16445148588866,17
00-0035156,46.625,43.535713,0.625,56,DET,Jack Fox,Jack Fox,49.989553485366926,18
00-0034162,47.85,42.766666,0.6166666666666667,60,LAC,J.K. Scott,J.K. Scott,49.02789038329734,19
00-0039745,47.833332,42.733334,0.6166666666666667,60,CHI,Tory Taylor,Tory Taylor,48.855037915677464,20
00-0038610,47.372547,42.17647,0.6470588235294118,51,NE,Bryce Baringer,Bryce Baringer,48.41728117709663,21
00-0029692,48.634148,42.634148,0.5853658536585366,41,DAL,Bryan Anger,Bryan Anger,47.38874446772922,22
00-0035821,45.532257,42.70968,0.6451612903225806,62,PIT,Corliss Waitman,Corliss Waitman,46.00625787934067,23
00-0035280,47.698414,43.587303,0.5238095238095238,63,MIA,Jake Bailey,Jake Bailey,43.14453218900759,24
00-0032065,45.140625,41.53125,0.65625,64,ATL,Bradley Pinion,Bradley Pinion,41.41550257453677,25
00-0028872,46.833332,42.141026,0.5641025641025641,78,TEN,Johnny Hekker,Johnny Hekker,39.12938776464397,26
00-0039059,46.3,39.58,0.68,50,LA,Ethan Evans,Ethan Evans,38.61216069847785,27
00-0035190,46.28767,40.80822,0.5342465753424658,73,LV,A.J. Cole,A.J. Cole,29.67273021100421,28
00-0032943,43.307693,40.153847,0.5846153846153846,65,TB,Riley Dixon,Riley Dixon,24.76571296895779,29
00-0027114,43.613636,37.227272,0.6590909090909091,44,SF,Thomas Morstead,Thomas Morstead,20.848060249567922,30
00-0035042,44.454544,39.418182,0.5272727272727272,55,NYG,Jamie Gillan,Jamie Gillan,19.104285898344315,31
00-0034721,44.784946,39.172043,0.5053763440860215,93,CLE,Corey Bojorquez,Corey Bojorquez,16.826588300039525,32
00-0040654,43.293102,38.672413,0.5,58,NO,Kai Kroeger,Kai Kroeger,10.780563354492188,33
